otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu251444	Indirana beddomii	225575	691011	-	None	True	deleted from tree in reconciliation	Indirana_beddomii	-	False
otu251250	Buergeria robusta	175634	39612	-	None	True	deleted from tree in reconciliation	Buergeria_robusta	-	False
otu251251	Buergeria buergeri	905914	191197	-	None	True	original	Buergeria_buergeri	-	True
otu251252	Buergeria japonica	376754	58513	-	None	True	original	Buergeria_japonica	-	True
otu251253	Buergeria oxycephala	905926	191198	-	None	True	original	Buergeria_oxycephlus	-	True
otu251249	Liuixalus hainanus	116912	670917	-	None	True	original	Philautus_hainanus	-	True
otu251248	Liuixalus ocellatus	116918	670919	-	None	True	original	Philautus_ocellatus	-	True
otu251247	Liuixalus romeri	723750	462319	-	None	True	original	Liuixalus_romeri	-	True
otu251244	Theloderma corticale	899247	126966	-	None	True	original	Theloderma_corticale	-	True
otu251243	Theloderma rhododiscus	867074	356234	-	None	True	original	Theloderma_rhododiscus	-	True
otu251241	Theloderma asperum	594756	191206	-	None	True	original	Theloderma_asperum	-	True
otu251242	Theloderma bicolor	714948	311823	-	None	True	original	Theloderma_bicolor	-	True
otu251245	Nyctixalus pictus	140893	126588	-	None	True	original	Nyctixalus_pictus	-	True
otu251246	Nyctixalus spinosus	594703	191201	-	None	True	original	Nyctixalus_spinosus	-	True
otu251236	Chiromantis xerampelina	175631	39610	-	None	True	original	Chiromantis_xerampelina	-	True
otu251237	Chiromantis rufescens	135530	143502	-	None	True	original	Chiromantis_rufescens	-	True
otu251238	Chiromantis doriae	594714	191200	-	None	True	original	Chiromantis_doriae	-	True
otu251239	Chiromantis vittatus	389176	127001	-	None	True	original	Chiromantis_vittatus	-	True
otu251235	Feihyla palpebralis	905916	191199	-	None	True	original	Feihyla_palpebralis	-	True
otu251233	Polypedates fastigo	33616	1917160	-	None	True	original	Polypedates_fastigo	-	True
otu251234	Polypedates eques	33618	1917156	-	None	True	original	Polypedates_eques	-	True
otu251232	Polypedates colletti	657721	143533	-	None	True	deleted from tree in reconciliation	Polypedates_colletti	-	False
