otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu258951	Austrophasmatidae sp. A1	368623	409184	-	2022/04/15	True	original	Austrophasmatidae_sp.n._1_805.An	-	True
otu259005	Karoophasma botterkloofense	36748	253132	-	2022/04/15	True	original	Karoophasma_botterkloofense_631.Bo1f	-	True
otu258918	Karoophasma botterkloofense	36748	253132	-	2022/04/15	True	original	Karoophasma_botterkloofense_792.Lo1m	-	True
otu258963	Karoophasma botterkloofense	36748	253132	-	2022/04/15	True	original	Karoophasma_botterkloofense_815.Lo1f	-	True
otu258996	Karoophasma botterkloofense	36748	253132	-	2022/04/15	True	original	Karoophasma_botterkloofense_581.Cv1n	-	True
otu258978	Karoophasma biedouwense	36751	253133	-	2022/04/15	True	original	Karoophasma_biedouwense_585.Wo2n	-	True
otu258902	Karoophasma biedouwense	36751	253133	-	2022/04/15	True	original	Karoophasma_biedouwense_582.Dr1m.672.Dr2n	-	True
otu258914	Karoophasma biedouwense	36751	253133	-	2022/04/15	True	original	Karoophasma_biedouwense_580.Dr1f.673.Dr1n	-	True
otu259004	Karoophasma biedouwense	36751	253133	-	2022/04/15	True	original	Karoophasma_biedouwense_671.Bi1f	-	True
otu258979	Karoophasma biedouwense	36751	253133	-	2022/04/15	True	original	Karoophasma_biedouwense_670.Bi1m	-	True
otu258917	Karoophasma biedouwense	36751	253133	-	2022/04/15	True	original	Karoophasma_biedouwense_629.Bi4f	-	True
otu258903	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_814.In1f	-	True
otu258967	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_776.Ci1f	-	True
otu258909	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_768.Ci2f	-	True
otu258985	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_766.In1f	-	True
otu258958	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_785.Kp1f	-	True
otu258977	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_780.Km1f	-	True
otu258961	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_796.KM1m	-	True
otu259003	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_625.Cl1m	-	True
otu258939	Austrophasma caledonense	36735	253135	-	2022/04/15	True	original	Austrophasma_caledonense_634.Ko1m	-	True
otu259002	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_802.Sf1m	-	True
otu258926	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_575.Ga1n	-	True
otu258976	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_787.Ga2f	-	True
otu258930	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_576.Ga2n	-	True
otu258904	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_803.Ga3m.810.Sf3m	-	True
otu258990	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_817.Sf3f	-	True
otu258947	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_819.Sf2m	-	True
otu258998	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_784.Ga2m	-	True
otu258942	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_818.Sf2f.800.Sf1f	-	True
otu258912	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_669.Ga1f	-	True
otu258971	Austrophasma gansbaaiense	36738	253136	-	2022/04/15	True	original	Austrophasma_gansbaaiense_789.Ga3f	-	True
otu258984	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_Ra2.674.Ra1n	-	True
otu258950	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_587.Ra1m.632.R	-	True
otu258982	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_806.Dt1m	-	True
otu258916	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_668.Ga1m	-	True
otu258959	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_584.Tw1n	-	True
otu258972	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_804.Sw1f	-	True
otu258989	Austrophasma rawsonvillense	36741	253137	-	2022/04/15	True	original	Austrophasma_rawsonvillense_809.Sw1m	-	True
otu258925	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_821.Kr1m	-	True
otu258968	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_790.Kg1f	-	True
otu258987	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_816.Ks1f	-	True
otu258934	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_788.Kg1m	-	True
otu258970	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_791.Gr1m	-	True
otu258946	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_813.Gr1f	-	True
otu258994	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_770.St1m	-	True
otu258936	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_774.Kn1m.775.Kn1f	-	True
otu258938	Namaquaphasma ookiepense	578340	409167	-	2022/04/15	True	original	Namaquaphasma_ookiepense_779.St1f.812.Kr1f	-	True
otu258935	Tyrannophasma gladiator	837958	270861	-	2022/04/15	True	original	Tyrannophasma_gladiator	-	True
otu258924	Praedatophasma maraisi	5612	409170	-	2022/04/15	True	original	Praedatophasma_maraisi_1040m	-	True
otu258966	Praedatophasma maraisi	5612	409170	-	2022/04/15	True	original	Praedatophasma_maraisi_1041f	-	True
otu258954	Sclerophasma paresisense	557654	253126	-	2022/04/15	True	original	Sclerophasma_paresisense_GB	-	True
otu258922	Sclerophasma paresisense	557654	253126	-	2022/04/15	True	original	Sclerophasma_paresisense_Pa1f	-	True
otu258937	Sclerophasma paresisense	557654	253126	-	2022/04/15	True	original	Sclerophasma_paresisense_Pa1m	-	True
otu258992	Tricholepidion gertschi	943277	89825	-	None	False	original	Tricholepidion_gertschi_GB	-	True
