otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu261198	Alcippe castaneceps	1084789	201298	-	2021/12/02	True	original	Schoeniparus_castaneceps_KUNHM_15156	-	True
otu261070	Alcippe cinerea	845576	204789	-	2021/12/02	True	original	Schoeniparus_cinerea_USNM_15213	-	True
otu261163	Alcippe cinerea	845576	204789	-	2021/12/02	True	original	Schoeniparus_cinerea_KUNHM_15152	-	True
otu261209	Malacopteron affine	779250	1070450	-	2021/12/02	True	original	Malacopteron_affine_KUNHM_12383	-	True
otu261218	Malacopteron albogulare	552898	1149641	-	2021/12/02	True	original	Malacopteron_albogulare_LSUMNS_B47244	-	True
otu261207	Malacopteron albogulare	552898	1149641	-	2021/12/02	True	original	Malacopteron_albogulare_LSUMNS_B50348	-	True
otu261060	Malacopteron cinereum	1078792	201343	-	2021/12/02	True	original	Malacopteron_cinereum_AMNH_DOT10778	-	True
otu261108	Malacopteron cinereum	1078792	201343	-	2021/12/02	True	original	Malacopteron_cinereum_KUNHM_12320	-	True
otu261158	Malacopteron magnum	728854	1149643	-	2021/12/02	True	original	Malacopteron_magnum_KUNHM_17770	-	True
otu261119	Malacopteron magnum	728854	1149643	-	2021/12/02	True	original	Malacopteron_magnum_LSUMNS_B38590	-	True
otu261304	Malacopteron magnirostre	265353	589850	-	2021/12/02	True	original	Malacopteron_magnirostre_KUNHM_12358	-	True
otu261210	Malacopteron magnirostre	265353	589850	-	2021/12/02	True	original	Malacopteron_magnirostre_LSUMNS_B36421	-	True
otu261220	Malacopteron palawanense	728857	1149644	-	2021/12/02	True	original	Malacopteron_palawanense_KUNHM_12600	-	True
otu261215	Illadopsis fulvescens	334360	201330	-	2021/12/02	True	original	Illadopsis_fulvescens_FMNH_391756	-	True
otu261256	Illadopsis fulvescens	334360	201330	-	2021/12/02	True	original	Illadopsis_fulvescens_KUNHM_19886	-	True
otu261102	Illadopsis pyrrhopterum	503733	98131	-	2021/12/02	True	original	Illadopsis_pyrrhoptera_FMNH_385058	-	True
otu261087	Illadopsis pyrrhopterum	503733	98131	-	2021/12/02	True	original	Illadopsis_pyrrhoptera_FMNH_346417	-	True
otu261320	Illadopsis rufipennis	949773	526177	-	2021/12/02	True	original	Illadopsis_rufipennis_KUNHM_8577	-	True
otu261236	Illadopsis rufipennis	949773	526177	-	2021/12/02	True	original	Illadopsis_rufipennis_KUNHM_15583	-	True
otu261246	Illadopsis albipectus	126367	147048	-	2021/12/02	True	original	Illadopsis_albipectus_FMNH_357284	-	True
otu261300	Illadopsis albipectus	126367	147048	-	2021/12/02	True	original	Illadopsis_albipectus_FMNH_385068	-	True
otu261113	Illadopsis cleaveri	1028018	201329	-	2021/12/02	True	original	Illadopsis_cleaveri_KUNHM_15688	-	True
otu261257	Illadopsis cleaveri	1028018	201329	-	2021/12/02	True	original	Illadopsis_cleaveri_KUNHM_8483	-	True
otu261231	Ptyrticus turdinus	601626	552926	-	2021/12/02	True	original	Ptyrticus_turdinus_FMNH_298643	-	True
otu261176	Ptyrticus turdinus	601626	552926	-	2021/12/02	True	original	Ptyrticus_turdinus_USNM_583567	-	True
otu261183	Illadopsis rufescens	909951	211964	-	2021/12/02	True	original	Illadopsis_rufescens_KUNHM_19773	-	True
otu261160	Illadopsis rufescens	909951	211964	-	2021/12/02	True	original	Illadopsis_rufescens_KUNHM_19729	-	True
otu261290	Illadopsis puveli	72518	98225	-	2021/12/02	True	original	Illadopsis_puveli_KUNHM_19887	-	True
otu261157	Kenopia striata	1078795	201345	-	2021/12/02	True	original	Kenopia_striata_LSUMNS_B36395	-	True
otu261173	Malacocincla abbotti	1078789	201341	-	2021/12/02	True	original	Malacocincla_abbotti_USNM_2131	-	True
otu261147	Malacocincla sepiaria	405545	1070449	-	2021/12/02	True	original	Malacocincla_sepiaria_LSUMNS_B47108	-	True
